team,seed,region,record,kenpom_rank,kenpom_offense_rank,kenpom_defense_rank,adjusted_efficiency_margin,injury_flag,injured_player,injury_status,ceiling,floor,ownership_estimate_pct,contrarian_value,bracket_path_difficulty,champion_filter_pass,notes
Arizona,1,West,30-4,3,8,12,+28.4,No,None,Healthy,Champion,Sweet 16,14,High,Medium,Yes,Healthiest 1-seed. Tommy Lloyd. Top-10 O and D. Home region advantage (West).
Duke,1,East,29-5,2,5,9,+29.7,Yes,Cooper Flagg (back),Game-time decision,Final Four,Round of 32,38,Low,Hard,Yes,Flagg injury makes them risky as champion pick. Best raw talent. Avoid as champion due to injury + ownership.
Florida,1,South,31-3,1,3,5,+31.2,No,None,Healthy,Final Four,Elite 8,22,Medium,Medium,Yes,#1 KenPom overall. Strong case as champion. Less sexy narrative but statistically best team.
Auburn,1,Midwest,28-6,4,11,18,+25.8,No,None,Healthy,Elite 8,Sweet 16,12,Medium,Hard,Yes,Strong offense. Defense dips relative to top 3. Walker/Broome duo is tournament-tested.
UConn,2,East,26-8,7,14,11,+23.1,No,None,Healthy,Final Four,Elite 8,18,Medium,Medium,Yes,Defending champion. Dan Hurley. Elite tournament culture. Loses to Duke path is soft challenge.
Michigan,2,Midwest,27-7,9,19,22,+21.6,No,None,Healthy,Runner-up,Sweet 16,8,High,Easy,Yes,Best bracket value among contenders. Soft Midwest path. Howard's system translates in March.
Purdue,2,West,27-6,6,2,25,+24.3,No,None,Healthy,Elite 8,Sweet 16,11,Medium,Medium,Yes,#2 KenPom offense. Edey replacement still productive. Faces Arizona in potential Elite 8.
Houston,2,South,28-5,5,22,3,+25.9,No,None,Healthy,Final Four,Elite 8,16,Medium,Easy,Yes,Elite defense (#3 KenPom). Kelvin Sampson. Faces Florida in Elite 8 — upset of the tournament call.
Gonzaga,3,West,27-6,12,7,28,+22.8,Yes,Ryan Huff (knee),Out,Sweet 16,Round of 32,9,Medium,Medium,No — injured,Without Huff their defense falls to ~55 KenPom. BYU upset pick.
Kansas,3,East,26-7,8,13,15,+23.4,No,None,Healthy,Sweet 16,Round of 32,7,Medium,Hard,Yes,Bill Self. Duke upset pick in Sweet 16. Faces East bracket buzzsaw but defense travels.
Saint Mary's,3,Midwest,29-4,15,20,8,+20.1,No,None,Healthy,Sweet 16,Round of 32,6,Low,Easy,No — KenPom O rank,Gaels have tournament pedigree but Texas A&M upset pick in Round of 32.
Baylor,3,South,25-8,11,16,14,+21.8,No,None,Healthy,Elite 8,Round of 32,8,Medium,Hard,Yes,Scott Drew. Faces Florida path. Defensive identity. Could make Final Four run.
Clemson,4,East,26-7,21,24,20,+18.9,No,None,Healthy,Sweet 16,Round of 64,10,Low,Medium,No — KenPom O,Iowa upset pick over Clemson in Round of 64. Overseeded relative to KenPom.
Nebraska,4,West,26-6,14,17,6,+19.8,No,None,Healthy,Sweet 16,Round of 32,5,High,Medium,Yes,Fred Hoiberg. Elite defense. Underrated by public. Strong contrarian value.
Texas Tech,4,Midwest,25-8,18,28,7,+19.1,Yes,Pop Toppin (ankle),Questionable,Round of 32,Round of 64,7,Medium,Medium,No — KenPom O,Without Toppin their offense rating falls. Mark Adams system is March-tested but limited upside.
Tennessee,4,South,26-7,13,21,4,+20.6,No,None,Healthy,Elite 8,Sweet 16,9,Medium,Hard,Yes,Rick Barnes. Elite defense. Faces Houston path in South. Could run.
Wisconsin,5,Midwest,24-9,16,18,19,+18.7,No,None,Healthy,Sweet 16,Round of 32,5,High,Easy,Yes,Underseeded. Beat Michigan/Purdue/Illinois. Greg Gard. Soft Midwest path.
Louisville,6,East,23-10,19,23,13,+17.4,No,None,Healthy,Round of 32,Round of 64,4,Medium,Medium,No — KenPom rank,Best KenPom 6-seed profile. Pat Kelsey. Could pull round of 32 upset.
BYU,6,West,24-9,23,30,16,+16.8,No,None,Healthy,Sweet 16,Round of 32,4,High,Medium,No — KenPom rank,Gonzaga upset pick. Kevin Young. Physical style matches up with injured Zags.
VCU,11,East,26-7,47,55,31,+12.1,No,None,Healthy,Sweet 16,Round of 64,3,High,Easy,No — KenPom rank,UNC missing Wilson. VCU defense (#31 KenPom) neutralizes Carolina offensive firepower.
Iowa,9,East,22-11,32,38,29,+14.3,No,None,Healthy,Round of 32,Round of 64,6,High,Easy,No — not 1-8 seed,11 KenPom spots above Clemson. Fran McCaffery. Size and experience advantage.
Texas A&M,10,Midwest,22-11,29,33,27,+14.8,No,None,Healthy,Round of 32,Round of 64,5,High,Easy,No — not 1-8 seed,9 seniors. 87.7 PPG. Physical mismatch for Saint Mary's guard-based system.
High Point,12,East,30-4,58,61,42,+9.6,No,None,Healthy,Round of 32,Round of 64,3,Medium,Easy,No — not 1-8 seed,Best 12-seed profile in the field. 30-4 record. Shoot lights out.
Hawaii,13,West,27-6,71,68,55,+7.2,No,None,Healthy,Round of 32,Round of 64,3,Medium,Easy,No — not 1-8 seed,Most legitimate 13-seed. Travel burden for opponents. Home crowd energy in opener.
North Dakota State,14,South,27-7,89,94,72,+4.1,No,None,Healthy,Round of 64,Round of 64,2,Low,Easy,No — not 1-8 seed,Best cover chance among 14s. Could keep it within 10.
