seed_slot,team,seed,region,reasoning,kenpom_rank,projected_round,estimated_points_standard,estimated_points_upset_bonus,pool_ownership_est,contrarian_tier,key_metric,head_coach,experience_tier,injury_flag,star_player
1,Arizona,1,West,Healthiest 1-seed. Champion pick. Tommy Lloyd. Top-10 KenPom offense and defense. Home region advantage in West.,3,Champion,32,0,14%,Medium,KenPom #3 overall with clean bill of health,Tommy Lloyd,Senior-led,No,Caleb Love
2,Purdue,2,West,#2 KenPom offense in the nation. Braden Smith running the show. Softer West bracket path than expected. Only real threat is Arizona in Elite 8.,6,Elite 8,16,0,11%,Medium,#2 KenPom offense nationally,Matt Painter,Junior-led,No,Braden Smith
3,Michigan State,3,Midwest,Tom Izzo. Top-10 KenPom defense. #1 rebounding rate in the country. Izzo is 7-1 in Elite 8s. Experience over talent in March.,10,Sweet 16,12,0,6%,High,#1 rebounding rate nationally,Tom Izzo,Senior-led,No,Malik Hall
4,Nebraska,4,West,Fred Hoiberg. Elite defense (#6 KenPom). 26-6 record. Vastly underrated by public. Strong contrarian value in pools.,14,Sweet 16,12,0,5%,High,#6 KenPom defense — elite,Fred Hoiberg,Senior-led,No,Brice Williams
5,Wisconsin,5,Midwest,Underseeded by selection committee. Beat Michigan/Purdue/Illinois in regular season. Greg Gard. Soft Midwest path to Sweet 16.,16,Sweet 16,12,0,5%,High,Beat Michigan/Purdue/Illinois this year,Greg Gard,Senior-led,No,John Tonje
6,Louisville,6,East,Best KenPom 6-seed profile in the field at #19 overall. Pat Kelsey. More talented than their seed suggests. Can steal Round of 32.,19,Round of 32,4,0,4%,Medium,Best KenPom profile among all 6-seeds,Pat Kelsey,Sophomore-led,No,Reyne Smith
7,Saint Mary's,7,Midwest,Tournament experience. Randy Bennett. Top-10 efficiency defense. Disciplined system. Projects to win Round of 64 vs Texas A&M — except we're fading them here.,15,Round of 64,2,0,6%,Low,Elite tournament pedigree and system,Randy Bennett,Senior-led,No,Mitchell Saxen
8,Georgia,8,Midwest,8 KenPom spots above Saint Louis (their likely R64 opponent). More athletic. Projects to win outright. Strong role player depth.,24,Round of 32,4,0,5%,Medium,8 KenPom spots above their likely opponent,Mike White,Junior-led,No,Dylan James
9,Iowa,9,East,11 KenPom spots above Clemson. Better offense. Better defense. Fran McCaffery. Size mismatch advantages. Clear KenPom upset value.,32,Round of 32,4,4,6%,High,11 KenPom spots above Clemson (8-seed),Fran McCaffery,Junior-led,No,Owen Freeman
10,Texas A&M,10,Midwest,9 seniors on the roster. 87.7 PPG — most in the field. Physical style kills Saint Mary's guard-heavy system. Wade Taylor IV is a problem.,29,Round of 32,4,4,5%,High,9 seniors + 87.7 PPG — most physical team in field,Buzz Williams,Senior-led,No,Wade Taylor IV
11,VCU,11,East,#47 KenPom — top of the 11-seed tier by a wide margin. UNC missing Jalen Wilson creates major offensive hole. VCU's press will feast.,47,Round of 32,4,8,3%,High,#47 KenPom — best 11-seed profile + UNC injury,Mike Rhoades,Senior-led,No,Ace Baldwin Jr.
12,High Point,12,East,30-4 record. Best 12-seed profile in field. Shoot 38%+ from three. Big South Champion. Keep the tradition alive — 12s always pull upsets.,58,Round of 32,4,4,3%,Medium,30-4 record — best 12-seed profile,Tubby Smith,Senior-led,No,Zane Meeks
13,Hawaii,13,West,Most legitimate 13-seed. Travel burden for opponent flying to Hawaii neutral site. JoVon McClanahan is a real player. 27-6 record.,71,Round of 32,4,8,2%,High,Most legitimate 13-seed — 27-6 and travel factor,Eran Ganot,Junior-led,No,JoVon McClanahan
14,North Dakota State,14,South,27-7 record. Sam Griesel is a legit mid-major star. Best cover chance among all 14-seeds. Won't go deep but keep it within 10.,89,Round of 64,2,0,1%,Low,Best cover chance among 14-seeds,David Richman,Senior-led,No,Sam Griesel
15,Queens NC,15,East,No 15-seed goes deep in the tournament. Just pick them to cover their Round of 64 game. Low points but no downside.,118,Round of 64,2,0,1%,Low,No 15 has ever made Final Four — safe floor pick,Randy Peele,Senior-led,No,Yahuza Rasas
16,Siena,16,Midwest,Best cover chance among all 16-seeds. MAAC champion. Javian McCollum is high usage. Could keep it within single digits vs Michigan.,156,Round of 64,2,0,1%,Low,Best cover chance among 16s — MAAC champ,Carmen Maciariello,Senior-led,No,Javian McCollum
