round,higher_seed_team,higher_seed_num,lower_seed_team,lower_seed_num,upset_tier,kenpom_gap,kenpom_higher_seed_rank,kenpom_lower_seed_rank,pool_value_rating,confidence,primary_reason,secondary_reason,injury_factor,predicted_winner,score_projection,region
Round of 64,Iowa,9,Clemson,8,Minor,11,32,21,High,75%,Iowa is 11 KenPom spots above Clemson — unusual for an 8/9 game,Fran McCaffery tournament experience,None,Iowa,72-68,East
Round of 32,BYU,6,Gonzaga,3,Major,11,23,12,High,65%,Ryan Huff knee injury devastates Gonzaga defense — drops to ~55 KenPom,Kevin Young physical style matches up against depleted Zags frontcourt,Ryan Huff (Gonzaga) knee — out,BYU,74-70,West
Round of 32,Texas A&M,10,Saint Mary's,7,Moderate,14,29,15,High,60%,9 seniors and 87.7 PPG creates physical mismatch for Saint Mary's guard-heavy system,Wade Taylor IV is faster and more powerful than any Saint Mary's defender,None,Texas A&M,81-74,Midwest
Sweet 16,Kansas,4,Duke,1,Major,6,8,2,Very High,55%,Cooper Flagg back injury is real — Duke at 85% is a different team,Bill Self defensive scheme creates chaos for young Duke players without Flagg at full speed,Cooper Flagg (Duke) back — game-time decision,Kansas,77-74,East
Elite 8,Houston,2,Florida,1,Major,4,5,1,Very High,50%,Kelvin Sampson elite defense (#3 KenPom) matches up perfectly with Florida's system,Florida is overseeded relative to public expectations — Houston is better team at lower ownership,None,Houston,68-65,South
Round of 32,VCU,11,UNC,6,Major,27,47,20,Very High,60%,Jalen Wilson injury removes UNC's best scorer — team drops from 20 to ~35 KenPom offense,VCU full-court press creates turnovers that UNC's remaining guards cannot handle,Jalen Wilson (UNC) knee — out 4-6 weeks,VCU,71-68,East
Round of 32,Iowa,9,Clemson,8,Minor,11,32,21,High,75%,Iowa is 11 KenPom spots above Clemson — unusual for an 8/9 game,Iowa size advantage in post,None,Iowa,72-68,East
Round of 64,High Point,12,Louisville,5,Standard 12/5,39,58,19,Medium,50%,30-4 record is the best among all 12-seeds. 12-seeds cover at 55%+ historically,Three-point shooting opens floor for drives,None,High Point,78-75,East
Round of 64,Hawaii,13,Nebraska,4,Moderate,57,71,14,Medium,35%,Most legitimate 13-seed in the field. Travel factor for Nebraska flying to neutral site.,JoVon McClanahan scoring punch can match Brice Williams in isolation,None,Nebraska,82-76,West
Round of 64,Texas A&M,10,Saint Mary's,7,Standard 10/7,14,29,15,Medium,60%,9 seniors + explosive offense creates mismatch for methodical Gaels,Texas A&M's pace is 4.3 possessions per game faster than Saint Mary's comfort zone,None,Texas A&M,84-76,Midwest
